JobID,Jobtitle,Companies,Locations,Experience,Skills,Salary,Reviews,Age of post,Job type,Logo,Rating,Job Description
3259,data analyst (contract)| us client| manesar| 5 lpa,mynd integrated solutions private limited,['manesar'],2-4 yrs,"['bpo', 'data analysis', 'process documentation', 'excel', 'sap', 'business process', 'data management']","4,00,000 - 5,00,000 pa.",0,10 days ago,hot job,logo present,0,bachelors or masters degree or university degree or equivalentno prior experience requi...
3260,bigquery engineer - big data/hadoop,huquo consulting pvt. ltd,['bangalore/bengaluru'],5-9 yrs,"['hive', 'bigquery', 'data pipeline', 'pyspark', 'hadoop', 'google cloud platform', 'big data', 'pig']",not disclosed,0,30+ days ago,premium,no logo,0,utilize python / pyspark / scala or java to analyze large-scale datasets in batch and r...
3261,big data architect,ameriprise,['gurgaon/gurugram'],8-13 yrs,"['computer science', 'sas', 'risk assessment', 'consulting', 'machine learning', 'network security', 'asset management', 'business intelligence']",not disclosed,212,28 days ago,premium,no logo,3.9,job description the big data solutions architect is responsible for leading the strateg...
3262,data science lead,natwest group,['gurgaon/gurugram'],3-6 yrs,"['data analysis', 'git', 'django', 'analytical', 'machine learning', 'data structures', 'data processing', 'business strategy']",not disclosed,31,30+ days ago,premium,no logo,3.8,experience designing and building end-to-end machine learning based pipelines experienc...
3263,data science lead - machine learning/predictive modeling,upcruit business services,['gurgaon/gurugram'],7-12 yrs,"['sql', 'big query', 'datarobot', 'python', 'h2o', 'google dataflow', 'ml', 'google cloud']",not disclosed,0,21 days ago,premium,no logo,0,"proficient in software / tools: python, jupyter notebooks, sql, ml platforms (h2o, data..."
3264,acn - digital - data & insights - 07,accenture solutions pvt ltd,['gurgaon/gurugram'],7-9 yrs,"['process automation', 'business analysis', 'branch banking', 'project management', 'risk assessment', 'commercial banking', 'predictive modeling', 'asset management']",not disclosed,16912,22 days ago,premium,logo present,3.9,"map as is and design target process model, design to be processes / structures / work f..."
3265,data platform engineer,natwest group,['gurgaon/gurugram'],4-6 yrs,"['aws', 'python', 'sql']",not disclosed,31,28 days ago,hot job,logo present,3.8,join us as a data platform engineerwe're seeking a talented data platform engineer to b...
3266,data analysts for a reputed global bpo at gurgaon immediate joiner,axmiyan hr solution pvt ltd,"['noida', ' gurgaon/gurugram', ' delhi / ncr']",2-5 yrs,"['bpo', 'data analysis', 'data science', 'data analyst', 'python', 'r', 'data analyst 2-5yrs gurgaon', 'data analyst gurgaon']",not disclosed,0,13 days ago,none,no logo,0,"proficiency in statistical data analysis and data mining packages r, python, excel back..."
3267,applied ai nlp scientist,builder.ai,['gurgaon/gurugram'],2-5 yrs,"['it skills', 'python', 'data science', 'machine learning', 'assembly line', 'head business development', 'prototype', 'investigation']",not disclosed,3,30+ days ago,premium,no logo,3.9,proficient in programming in at least one high level programming languageat least 2 yea...
3268,data platform engineering lead,natwest group,['gurgaon/gurugram'],4-8 yrs,"['computer science', 'agile', 'data structures', 'data quality', 'informatica', 'oracle', 'analytics', 'sql']",not disclosed,31,30+ days ago,premium,no logo,3.8,this is an exciting opportunity to use your technical expertise to collaborate with col...
