JobID,Jobtitle,Companies,Locations,Experience,Skills,Salary,Reviews,Age of post,Job type,Logo,Rating,Job Description
190,data analysts,prometheus consulting,['bangalore/bengaluru'],2-3 yrs,"['supply chain', 'process orientation', 'business analytics', 'analytical', 'consulting', 'market research', 'data analyst', 'customer experience']",not disclosed,0,30+ days ago,none,no logo,0,"try & buy, next day delivery, alterations, product quality, forward & reverse logistics..."
191,"senior engineer , big data & security",apptarix,['bangalore/bengaluru'],3-5 yrs,"['hibernate', 'tomcat', 'jboss', 'eclipse', 'mysql', 'json', 'ejb', 'apache']",not disclosed,0,30+ days ago,premium,logo present,0,responsibilities: work with chief architect and product leaders of the company day to d...
192,senior backend engineer - data collection,sumo logic,"['noida', ' bengaluru']",1-4 yrs,"['it skills', 'java', 'software development', 'cloud', 'big data', 'aws', 'azure', 'backend']",not disclosed,0,30+ days ago,none,no logo,0,"experience in big data andor 24x7 commercial service is highly desirableideally, you ha..."
193,sr. data base engineer,multi recruit,['bangalore/bengaluru'],5-7 yrs,"['linux', 'networking', 'production support', 'rdbms', 'database design', 'mysql', 'disaster recovery', 'netbackup']",not disclosed,8,30+ days ago,none,no logo,3.4,"roles and responsibility responsible for logical database design, physical database des..."
194,senior data engineer,bloom consulting services,['bangalore/bengaluru'],3-8 yrs,"['sql queries', 'mysql', 'javascript', 'infrastructure', 'scheduling', 'big data', 'data warehousing', 'aws']",not disclosed,20,30+ days ago,none,no logo,4.1,"build the infrastructure required for optimal extraction, transformation, and loading d..."
195,azure data factory data engineer,luxoft,['bengaluru'],4-9 yrs,"['data management', 'data modeling', 'hadoop', 'power bi', 'microsoft azure', 'business intelligence', 'big data', 'sql azure']",not disclosed,45,20 days ago,none,logo present,4.6,"maintain a good, current and demonstrable knowledge of adjacent application and market ..."
196,senior data analyst/ bi analyst,actualresource consultancy services (opc) pvt ltd,['bangalore/bengaluru'],6-7 yrs,"['software development', 'web technologies', 'microsoft power bi', 'sql']","15,00,000 - 25,00,000 pa.",0,20 days ago,premium,no logo,0,candidate should have lead experience with good hands on in sql / power bi at least 6-7...
197,"senior engineer, big data & security",apptarix,['bangalore/bengaluru'],3-5 yrs,"['junit', 'development', 'tomcat', 'maven', 'hibernate', 'eclipse', 'java', 'apache']",not disclosed,0,30+ days ago,none,logo present,0,responsibilities: work with chief architect and product leaders of the company day to d...
198,business and data analyst - alphonso,alphonso inc.,['bangalore/bengaluru'],2-5 yrs,"['analytical', 'ad operations', 'data analyst', 'account management', 'campaigns', 'management', 'advertising', 'digital advertising']",not disclosed,0,30+ days ago,none,no logo,0,you will be one of the early members of the team and will help shape the growth of this...
199,azure data engg,diverse lynx,['kolkata'],4-6 yrs,"['spark', 'microsoft azure', 'pyspark', 'azure databricks', 'azure data factory', 'python unix', 'hive', 'it skills']",not disclosed,41,21 days ago,none,no logo,2.4,"azure data engg azure databricks, azure data factory, hive, spark and python unix, pysp..."
200,senior data engineers,hivesure infosolutions,['chennai'],6-8 yrs,"['lead architect', 'ooad', 'debugging', 'j2ee', 'scrum', 'unit testing', 'hrd', 'engineering lead']",not disclosed,0,30+ days ago,none,no logo,0,6- 8 yrs (min 4 years in bigdata programming + java) work location base location blr/ h...
201,senior big data devops engineer,pubmatic india pvt. ltd.,['new delhi'],5-10 yrs,"['performance tuning', 'automation', 'production support', 'debugging', 'disaster recovery', 'performance testing', 'monitoring', 'system administration']",not disclosed,33,30+ days ago,premium,no logo,4.6,responsibilities: manage large scale hadoop cluster environments including capacity pla...
202,senior data engineers,hivesure infosolutions,['chennai'],6-8 yrs,"['lead architect', 'ooad', 'debugging', 'j2ee', 'scrum', 'unit testing', 'hrd', 'engineering lead']",not disclosed,0,30+ days ago,none,no logo,0,6- 8 yrs (min 4 years in bigdata programming + java) work location base location blr/ h...
203,"senior big data engineer, smart mfg & ai",micron semiconductor asia pte ltd,['hyderabad/secunderabad'],4-7 yrs,"['c#', 'java', 'hive', 'software engineering', 'data structures', 'hadoop', 'javascript', 'programming']",not disclosed,2,13 days ago,preferred,logo present,5,"minimum of 2 years experience in any of the following: at least one high-level client, ..."
204,associate director - data science,parexel international india pvt. ltd.,['hyderabad/secunderabad'],5-10 yrs,['data science'],not disclosed,381,2 days ago,preferred,logo present,4.1,programming expertise or certification in computer languages (e.gmaintain a working kno...
205,staff data engineer,servicenow,['hyderabad/secunderabad'],5-10 yrs,"['it skills', 'java', 'python', 'javascript', 'big data', 'tableau', 'azure', 'computer science']",not disclosed,21,none,none,no logo,4.2,"using pl / sql queries, python and api calls to stand up master data sets and merge dat..."
206,senior data engineer,varite,['hyderabad/secunderabad'],10-12 yrs,"['it skills', 'java', 'python', 'cloud', 'big data', 'sap', 'azure', 'computer science']",not disclosed,36,10 days ago,none,logo present,3.4,description: position general duties and tasks : azure data engineer will be responsibl...
207,job opening for data science module lead position @ globaldata(hyd),globaldata,['hyderabad/secunderabad(kondapur)'],4-8 yrs,"['it skills', 'python', 'software development', 'data science', 'machine learning', 'ms sql', 'mongodb', 'svm']",not disclosed,193,7 days ago,preferred,logo present,3.6,"hello, immediate job opening for data science (developer/module lead) position @ global..."
208,looking for data architect-bangalore/hyderabad,ness technologies (india) private limited,"['hyderabad/secunderabad', ' bangalore/bengaluru']",10-20 yrs,"['cloud', 'big data', 'data modeling', 'data architecture', 'aws', 'data governance', 'python']","20,00,000 - 35,00,000 pa.",213,30+ days ago,premium,logo present,3.2,certification in aws solution architect or azure architect or snowflake pro is desirabl...
209,data science,luxoft,['hyderabad/secunderabad'],3-6 yrs,"['data analysis', 'nosql', 'linux', 'mysql', 'machine learning', 'linear regression', 'mongodb', 'natural language processing']",not disclosed,45,6 days ago,none,logo present,4.6,project description required experience (indicate nature and extent of work experience ...
210,senior software engineer-big data,cgi information systems and management consultants,['hyderabad/secunderabad'],3-6 yrs,"['it skills', 'python', 'testing', 'machine learning', 'big data', 'data analysis', 'cgi', 'sas r']",not disclosed,55,2 days ago,hot job,logo present,4.2,positive attitude and team focus are required skills / competency required skills / com...
211,"ts - data analyst - tableau, python",it company,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' delhi / ncr']",6-11 yrs,"['sql', 'tableau', 'hive', 'bigdata', 'analytics', 'python', 'it skills', 'big data analytics']","8,00,000 - 15,00,000 pa.",0,9 days ago,none,no logo,0,"we are looking for data analyst with tableau and analytics exp and can code in python, ..."
212,data science engineer - deep learning/neural networks,carbynetech india,['hyderabad/secunderabad'],3-7 yrs,"['data science', 'nlp', 'neural networks', 'deep learning', 'python']",not disclosed,8,30+ days ago,premium,logo present,2.2,"nlp expertise, especially in language modelling, experience in using pre-trained langua..."
213,gcp data consultant and engineer,capgemini technology services india limited,['hyderabad/secunderabad'],6-9 yrs,"['it skills', 'cloud', 'devops', 'jenkins', 'service delivery', 'solution design', 'automation', 'git']",not disclosed,11296,29 days ago,preferred,logo present,3.6,end to end design and implementation of cloud transformation. standardization of soluti...
214,sr data engineer / data engineer,eagle genomics ltd,['hyderabad/secunderabad'],3-8 yrs,"['github', 'interpersonal skills', 'git', 'data management', 'data modeling', 'analytical', 'schema', 'scala']",not disclosed,0,none,none,no logo,0,"your essential knowledge, skills & experience: looking for an overall experience of 3 t..."
215,senior product analyst - enterprise data services,salesforce,['hyderabad/secunderabad'],6-11 yrs,"['product analyst', 'cloud computing', 'data services', 'oracle', 'business intelligence', 'information technology', 'sql', 'crm']",not disclosed,63,none,none,logo present,3.9,bachelor s degree with at least 6 years of hands-on experience as a business system ana...
216,hiring data engineers for hyderabad location - cbre,cbre south asia pvt ltd,['hyderabad/secunderabad'],8-12 yrs,"['rdbms', 'sql', 'python']","12,00,000 - 22,00,000 pa.",1381,30+ days ago,hot job,logo present,4.2,roles and responsibilities hands on experience with sqlstrong working experience with r...
217,senior data engineer,prokarma softech pvt. ltd.,['hyderabad/secunderabad'],6-10 yrs,"['azure data factory', 'business intelligence tools', 'data quality', 'data engineering', 'data analysis', 'kafka', 'azure databricks', 'data warehousing']",not disclosed,153,2 days ago,hot job,logo present,3.6,good experience in migrating onprem data warehouse / datamart to modern cloud data ware...
218,senior big data engineer,alliance global services it india pvt. ltd.,['hyderabad/secunderabad'],5-9 yrs,"['rabbitmq', 'native cloud data', 'spark', 'agile', 'performance tuning', 'impala', 'etl', 'sql queries']",not disclosed,151,7 days ago,none,logo present,3.4,experience with native cloud data services aws or azure or gcp (preferred) experience w...
219,senior data engineer,wavelabs,['hyderabad/secunderabad'],4-8 yrs,"['map - reduce', 'hadoop ecosystem', 'emr', 'scrum', 'agile', 'spark', 'git', 'soap']",not disclosed,0,10 days ago,none,no logo,0,skills and qualifications: have proven working experience in building applications usin...
220,data engineer / sr data engineer,berkadia services india pvt. ltd.,['hyderabad/secunderabad'],5-10 yrs,"['pyspark', 'r', 'git', 'scala', 'classification', 'big data', 'spark', 'data warehousing']",not disclosed,108,none,preferred,logo present,4.1,"work classification: full timequalifications to perform this job successfully, an indiv..."
221,staff engineer - 5g-nr data plane engineer,"qualcomm technologies, inc",['hyderabad/secunderabad'],8-10 yrs,"['c++', 'embedded systems', 'linux', 'staffing', 'protocol stack', 'design development', 'linux internals', 'troubleshooting']",not disclosed,195,30+ days ago,premium,logo present,4.2,"candidate must have strong problem solving skills, communication skills, and must be ab..."
222,azure data engineer,collabera,"['new delhi', ' pune', ' gurgaon/gurugram', ' delhi / ncr']",2-7 yrs,"['data factory', 'adls', 'unix', 'data lake storage', 'spark sql', 'pyspark', 'adf', 'spark']",not disclosed,494,4 days ago,hot job,logo present,3.6,"should be well versed with: adls (data lake storage), adf (data factory), databricks (w..."
223,data engineer,wolters kluwer india pvt ltd,"['mumbai', ' pune']",3-6 yrs,"['computer science', 'rdbms', 'analytical', 'xml', 'data structures', 'json', 'data warehousing', 'etl tool']",not disclosed,71,20 days ago,premium,logo present,3.6,"experience of working on aws platform like s3, redshift data warehousebachelor s degree..."
224,senior data engineer - aws glue/aws athena,v employment solutions,"['mumbai', ' visakhapatnam', ' pune', ' chennai', ' bangalore/bengaluru', ' delhi / ncr']",2-7 yrs,"['metadata management', 'azure databricks', 'azure data factory', 'lambda', 'aws glue', 'kinesis', 'cloud data collection', 'data migrations']",not disclosed,0,30+ days ago,premium,no logo,0,should have good communication skills should have very good understanding of cloud data...
225,data engineer::aws/data engineers and aws data architect,technogen india private limited,"['mumbai', ' new delhi', ' pune', ' chennai', ' bangalore/bengaluru']",3-8 yrs,"['it skills', 'python', 'cloud', 'big data', 'aws', 'aws lambda', 'python.', 'glue']",not disclosed,7,20 days ago,hot job,no logo,3,experience creating and maintaining optimal data pipeline architecture required for opt...
226,data analyst/scientist_mumbai/pune/bangalore/chennai,jobs territory,"['mumbai', ' pune']",4-7 yrs,"['correlation', 'data analysis', 'data mining', 'data analytics']","10,00,000 - 20,00,000 pa.",0,28 days ago,premium,no logo,0,experience: 4-7 years
227,"data analyst, client success – reporting & analytics",cvent india pvt. ltd.,['gurgaon/gurugram'],2-7 yrs,"['data analysis', 'gainsight', 'data visualization', 'advanced excel', 'tableau', 'trend analysis', 'demand analysis']",not disclosed,130,29 days ago,hot job,logo present,3.3,willing to work in us east coast shift experience with tableau data visualization requi...
228,big data developers,pentagon consultancy services,"['mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",4-9 yrs,"['unix', 'bpo', 'payroll', 'hive', 'staffing', 'plsql', 'big data', 'business executive']",not disclosed,0,30+ days ago,none,no logo,0,they need to be sent to malaysia for the project for minimum 6 monthsdescription : sele...
229,data engineer ii,ncr corporation india pvt ltd,['gurgaon/gurugram'],3-5 yrs,"['analytical', 'unix', 'adoop', 'informatica', 'ms azure', 'communication', 'spark', 'java']",not disclosed,579,none,none,logo present,3.8,"bachelor s degree or relevant experience in computer (it / is/eng) related field, or bu..."
230,data engineer: data integration,ibm india pvt. limited,['gurgaon/gurugram'],6-10 yrs,"['business intelligence', 'creative designing', 'unix shell scripting', 'ab initio', 'data cleansing', 'application design', 'design thinking', 'etl']",not disclosed,9304,7 days ago,preferred,logo present,4,minimum 6+ years of experience in abinitio development required technical and professio...
231,senior data engineer sql,concentrix technologies india pvt. ltd,['gurgaon/gurugram'],3-8 yrs,"['computer science', 'git', 'nosql', 'linux', 'hp data protector', 'workflow management', 'shell scripting', 'sql']",not disclosed,8283,30+ days ago,none,logo present,4.1,"bachelors degree in computer science, statistics, or another quantitative field 3 years..."
232,females required- data analyst- noida,randstad,"['noida', ' gurgaon/gurugram', ' delhi / ncr']",3-7 yrs,"['c#', 'java', 'data extraction', 'data mining', 'sql server', 'tableau', 'ssis', 'excel']",not disclosed,1037,16 days ago,hot job,logo present,4,"education: university graduate (computer science, cybernetics or similar) knowledge of ..."
233,data/sr data engineer,jobs territory,"['noida', ' mumbai', ' pune', ' chennai', ' greater noida']",4-7 yrs,"['s3', 'scala', 'ec2', 'rds', 'amazon web services', 'emr', 'apache', 'aws']","5,00,000 - 15,00,000 pa.",0,6 days ago,hot job,no logo,0,amazon certification required exp: 2 - 5 yrs
234,software engineer data analytics,paktolus solutions,"['mumbai', ' pune', ' bangalore/bengaluru']",3-6 yrs,['sql'],not disclosed,0,30+ days ago,none,logo present,0,should have ability to drive requirement gathering sessions and translate them into bus...
235,data researcher,coloredcow,"['dehradun', ' gurgaon/gurugram', ' deoria']",0-3 yrs,"['pdf', 'excel', 'manager quality assurance', 'web technologies', 'machine learning', 'health care services', 'healthcare', 'research']",not disclosed,0,30+ days ago,none,logo present,0,"however, many times human intervention is required as wellto keep the data up to date a..."
236,data analyst,adidas group,['gurgaon/gurugram'],1-6 yrs,"['business administration', 'data analysis', 'analytical', 'brand marketing', 'windows', 'data visualization', 'information technology', 'analytics']",not disclosed,189,30+ days ago,none,logo present,4.3,key responsibilities: analytics undertakes analytical activities and delivers analysis ...
237,data analyst,adidas group,['gurgaon/gurugram'],1-5 yrs,"['business administration', 'data analysis', 'analytical', 'brand marketing', 'windows', 'data visualization', 'information technology', 'analytics']",not disclosed,189,30+ days ago,none,logo present,4.3,"undertakes analytical activities and delivers analysis outputs, in accordance with cust..."
238,system & data analyst,tmf group,['gurgaon/gurugram'],2-5 yrs,"['payroll', 'fund accounting', 'erp', 'automation', 'business analysis', 'project management', 'analytical', 'workflow']",not disclosed,85,30+ days ago,none,no logo,3,graduate or above in any discipline create process maps and business requirement docume...
239,data visualization analyst,taskus,['gurgaon/gurugram'],2-7 yrs,"['computer science', 'business services', 'business objects', 'analytical', 'customer support', 'qlikview', 'data visualization', 'information technology']",not disclosed,41,30+ days ago,none,logo present,3.9,"description as data visualization analyst, you will mainly work on developing dashboard..."
240,manager - data analytics & reporting ( powerbi ),sutherland global services private limited,"['hyderabad/secunderabad', ' navi mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",8-13 yrs,"['data science', 'power bi', 'data collection', 'data analytics', 'analytics reporting', 'talent acquisition']","12,00,000 - 16,00,000 pa.",3058,22 days ago,hot job,logo present,3.8,hands-on experience with data extraction and manipulation with disparate data sources5 ...
241,data visualization analyst,taskus,['gurgaon/gurugram'],2-7 yrs,"['computer science', 'business services', 'business objects', 'analytical', 'customer support', 'qlikview', 'data visualization', 'information technology']",not disclosed,41,30+ days ago,none,logo present,3.9,"description as data visualization analyst, you will mainly work on developing dashboard..."
242,manager - data analytics & reporting ( powerbi ),sutherland global services private limited,"['hyderabad/secunderabad', ' navi mumbai', ' pune', ' chennai', ' bangalore/bengaluru']",8-13 yrs,"['data science', 'power bi', 'data collection', 'data analytics', 'analytics reporting', 'talent acquisition']","12,00,000 - 16,00,000 pa.",3058,22 days ago,hot job,logo present,3.8,hands-on experience with data extraction and manipulation with disparate data sources5 ...
243,team leader- data technology,icici bank ltd,"['mumbai', ' mumbai suburban', ' navi mumbai', ' mumbai (all areas)', ' mumbai']",15-19 yrs,"['data migration', 'team leading', 'data lake', 'data integration']",not disclosed,15749,10 days ago,premium,logo present,4,"at icici bank, data science is an established practice which help us engage in data dri..."
244,data engineer / sr. data engineer,colgate palmolive,['mumbai'],5-8 yrs,"['personal care', 'home care', 'hadoop', 'javascript', 'mongodb', 'spark', 'oral care', 'python']",not disclosed,396,29 days ago,hot job,logo present,4.3,"the experiencein today’s multifaceted technology environment, it is an exciting time to..."
245,python data engineer,winvest technology consultancy services pvt ltd,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 yrs,"['panda', 'spark', 'azure databricks', 'python']","17,00,000 - 25,00,000 pa.",0,30+ days ago,premium,no logo,0,"roles and responsibilities python (pandas and pyspark) scala(for spark sql), sql server..."
246,big data engineer,winvest technology consultancy services pvt ltd,"['hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru', ' mumbai (all areas)']",8-13 yrs,['big data'],not disclosed,0,30+ days ago,none,no logo,0,"ro hadoop distribution (hortonworks or cloudera), spark & spark sql, hive, etl, sqlles ..."
247,lead data engineer,matrix management services,['mumbai'],5-10 yrs,"['airflow', 'data science', 'presto', 'cloudera', 'hadoop', 'scala', 'data engineer', 'flume']",not disclosed,7,22 days ago,premium,logo present,4.3,"experienced in one or more big data ingestion tools (sqoop, flume, nifi etc), distribut..."
248,twoa senior lead - data engineer,m&g plc,['mumbai'],7-9 yrs,"['computer science', 'automation', 'business transformation', 'data management', 'actuarial', 'customer service', 'information technology', 'crm']",not disclosed,0,22 days ago,premium,no logo,0,duties responsibilities advanced knowledge of analytica and visualization tool used (sq...
249,business data analyst - it risk reporting,cliqhr.com,"['mumbai', ' hyderabad/secunderabad', ' pune', ' chennai', ' bangalore/bengaluru']",5-9 yrs,"['it risk', 'business analyst', 'data analyst', 'data warehousing', 'sdlc', 'csm/cspo', 'data integration', 'sql']",not disclosed,0,27 days ago,premium,no logo,0,high-level role description:- - work closely with diverse business and it teams & gain ...
250,data science analyst,angel broking limited,['mumbai'],1-4 yrs,"['automation framework', 'architect', 'tableau', 'digital analytics', 'data science', 'management', 'sql', 'python']",not disclosed,670,27 days ago,none,logo present,3.8,advanced ability to draw insights from data and clearly communicate them to the stakeho...
251,urgent opening for sr. data analyst,bvictorious management consultancy,['mumbai (all areas)'],6-10 yrs,"['predictive modeling', 'nosql', 'bi tools', 'data analysis', 'sql queries', 'jupyter', 'tableau', 'rstudio']","8,00,000 - 11,00,000 pa.",0,30+ days ago,hot job,no logo,0,roles and responsibilities skills/ knowledge must haves: good conceptual knowledge of d...
252,senior manager - data science - sales & marketing analytics,gladwin analytics,['mumbai'],10-15 yrs,"['computer science', 'operations research', 'sales', 'data science', 'coding', 'analytical', 'machine learning', 'agile']",not disclosed,0,30+ days ago,none,no logo,0,gladwin analytics : executive search | big data | advanced analytics job navigation our...
253,senior manager - data science,gladwin analytics,['mumbai'],5-10 yrs,"['computer science', 'electrical engineering', 'analytical skills', 'statistical modeling', 'data science', 'time series analysis', 'machine learning', 'analytics executive']",not disclosed,0,30+ days ago,none,no logo,0,job description lead and develop predictive solutions for aamdani badhao platform close...
254,data labelling,capgemini technology services india limited,['mumbai'],4-6 yrs,"['rpa', 'ai', 'communication', 'agile methodology', 'agile', 'it skills', 'data science', 'programming']",not disclosed,11296,none,preferred,logo present,3.6,experience in at least 1 programming language is a must 4 years of overall experience w...
255,data labelling,capgemini technology services india limited,['mumbai'],12-14 yrs,"['it skills', 'data science', 'big data', 'rpa', 'solution architecture', 'analytical skills', 'rfi', 'presales']",not disclosed,11296,9 days ago,preferred,logo present,3.6,12 years of overall experience with 3 years of experience leading a team and working in...
256,data labelling,capgemini technology services india limited,['mumbai'],8-10 yrs,"['ai', 'communications', 'agile methodology', 'big data', 'communication', 'analytical', 'analytical skills', 'data science']",not disclosed,11296,9 days ago,preferred,logo present,3.6,8 years of overall experience with 2 years working in product development good to have ...
257,data labelling,capgemini technology services india limited,['mumbai'],2-4 yrs,"['rpa', 'agile methodology', 'artificial intelligence', 'ai', 'machine learing', 'communication', 'it skills', 'data science']",not disclosed,11296,9 days ago,preferred,logo present,3.6,"experience in at least 1 programming language is a must, candidates with artificial int..."
258,opening for sr. lead data engineer - mumbai,10fa india private limited,['mumbai'],7-10 yrs,"['azure data lake', 'python', 'data warehouse', 'data modelling', 'azure services', 'blob storage', 'azure data factory', 'azure sql']",not disclosed,42,23 days ago,premium,logo present,3.8,required competence / knowledge / skills (mandatory)experience in working with globally...
259,lead engineer: big data,fractal analytics,['mumbai'],4-7 yrs,"['solution architecture', 'project management', 'testing', 'it management', 'management', 'analytics', 'cloud', 'computer science']",not disclosed,82,30+ days ago,none,logo present,3.7,summary: position of engineering project manager for ai/analytics engineering will be e...
260,senior data engineer,pinebridge india private limited,['mumbai'],2-7 yrs,"['computer science', 'data management', 'consulting', 'javascript', 'informatica', 'stored procedures', 'asset management', 'apache']",not disclosed,3,30+ days ago,none,no logo,4.9,responsibilities: design and implement efficient data cicd pipelines (etls) in order to...
261,sr. data analyst,lightwave consultants,['mumbai'],4-8 yrs,"['reports/dashboards', 'scripting language', 'bi tool', 'data analysis', 'sql']",not disclosed,0,17 days ago,none,no logo,0,work from home provided (till covid-19) with immediate joiners preferred must have work...
262,senior data engineer (mulesoft),intertek india pvt. ltd.,['mumbai (all areas)'],3-6 yrs,"['enterprise applications', 'mulesoft', 'data structures', 'team leading', 'technical leadership', 'data integration']",not disclosed,381,17 days ago,hot job,logo present,4,this position will provide technical leadership as a lead data integration & engineerin...
263,senior data engineer,in2m technologies pvt ltd,['mumbai'],5-8 yrs,"['computer science', 'data science', 'coding', 'data modeling', 'financial inclusion', 'javascript', 'data structures', 'genetics']",not disclosed,4,30+ days ago,none,no logo,4,"masters degree or higher in data engineering, computer science, information systems or ..."
264,senior data engineer,in2m technologies pvt ltd,['mumbai'],5-8 yrs,"['spark', 'schema', 'data processing', 'workflow', 'instrumentation', 'manual', 'troubleshooting', 'sql']",not disclosed,4,30+ days ago,none,no logo,4,"description as a sr. data engineer you ll work authoring, maintaining and supporting pr..."
265,senior data engineer,richpanel,['mumbai'],2-5 yrs,"['san', 'french', 'ecs', 'saas', 'javascript', 'database', 'equity', 'manager technologycook']",not disclosed,0,30+ days ago,none,no logo,0,see below: has lead a development team for saas or played an instrumental role in build...
266,senior big data devops engineer,pubmatic india pvt. ltd.,['mumbai'],3-6 yrs,"['performance tuning', 'automation', 'production support', 'debugging', 'disaster recovery', 'performance testing', 'monitoring', 'system administration']",not disclosed,33,30+ days ago,premium,no logo,4.6,responsibilities: manage large scale hadoop cluster environments including capacity pla...
267,digital data analyst,social wavelength,['mumbai'],3-4 yrs,"['it skills', 'digital marketing', 'tableau', 'power bi', 'publishing', 'google analytics', 'coding', 'social media']",not disclosed,0,30+ days ago,none,no logo,0,"you will be responsible for using data, intellectual curiosity, instincts, passion, exp..."
268,business analyst / data analyst,larsen & toubro infotech limited,['mumbai'],8-13 yrs,"['it skills', 'testing', 'journal entries', 'business analyst', 'accounting', 'accounting operations', 'reconciliation', 'consulting']",not disclosed,1929,30+ days ago,none,logo present,3.7,willing for working in uk shift any ba / scrum certifications would be added advantage ...
269,big data developer- consultant / senior consultant talent toppers,talent toppers,['mumbai'],4-5 yrs,"['rest', 'python', 'email', 'testing', 'tools', 'workflow', 'data processing', 'perl']",not disclosed,5,30+ days ago,none,no logo,4.8,big data developer- consultant / senior consultant talent toppers big data developer- c...
270,"senior software engineer - java, big data",xalted information systems pvt. ltd.,['mumbai'],2-5 yrs,"['rest', 'development', 'code', 'technical', 'software', 'testing', 'developing', 'tools']",not disclosed,7,30+ days ago,none,no logo,4.3,proficiency with core java and object oriented design knowledge and experience developi...
271,senior data engineer,yougov,['mumbai'],2-8 yrs,"['erp', 'data analysis', 'linux', 'powershell', 'analytical', 'windows', 'troubleshooting', 'open source']",not disclosed,2,30+ days ago,none,no logo,5,"job description the senior data engineer, as a member of the unit s development and eng..."
272,sr . data engineer,"opentable, inc.",['mumbai'],3-7 yrs,"['unix', 'san', 'data analysis', 'data migration', 'data modeling', 'project management', 'agile', 'informatica']",not disclosed,0,30+ days ago,none,logo present,0,leads discussions with the data analytics developers and data engineers to ensure data ...
273,data analyst - product,"saavn, llc",['mumbai'],1-2 yrs,"['data analysis', 'data validation', 'google analytics', 'web analytics', 'project management', 'customer service', 'microsoft', 'big data']",not disclosed,0,30+ days ago,none,logo present,0,"proficiency in web / product analytics tools like google analytics, amplitude, web anal..."
274,data analyst,hindco consulting services,['mumbai'],1-5 yrs,"['analytical skills', 'market analysis', 'chemical', 'excel', 'pharma', 'data analyst', 'business intelligence', 'petrochemical']",not disclosed,0,30+ days ago,none,no logo,0,salary: not disclosed by recruiter industry: chemicals / petrochemical / plastic / rubb...
275,data science associate consultant,zs associates,"['pune', ' pune']",3-3 yrs,"['it skills', 'java', 'python', 'testing', 'data science', 'machine learning', 'project management', 'data science or data scientist or machine learning or nlp or natural language processing or text mining']",not disclosed,341,9 days ago,hot job,logo present,3.8,"high motivation, good work ethic and maturityphd degree in computer science, statistics..."
276,data analyst - statistical & forensic analysis in banking / bigdata,futures and careers,"['hyderabad/secunderabad', ' bangalore/bengaluru', ' mumbai (all areas)']",2-7 yrs,"['big data', 'teradata', 'forensic', 'hadoop', 'data analysis', 'it skills', 'hive', 'statistical']",not disclosed,0,10 days ago,none,no logo,0,experience working on proven ability to work with large data sets (10 s of tb) in hadoo...
277,data engineer,rcpc,['pune'],5-8 yrs,"['it skills', 'python', 'testing', 'cloud', '.net', 'azure', 'asp.net', 'c#']",not disclosed,0,13 days ago,hot job,logo present,0,bs degree in computer science or related field 5 to 8 years with minimum of 4 to 5 year...
278,staff data engineer,rcpc,['pune'],8-12 yrs,"['it skills', 'java', 'python', 'testing', 'distribution system', 'c++', 'data engineering', 'software engineering']",not disclosed,0,13 days ago,hot job,logo present,0,years of experience: 8 to 12 years with a minimum of 5 to 7 years relevant experience d...
279,senior data engineer,tavisca solutions pvt ltd,['pune'],5-8 yrs,"['data engineering', 'mongodb', 'sql server', 'sas management console', 'linux', 'postgresql', 'kafka', 'data warehousing']",not disclosed,21,13 days ago,hot job,logo present,4.2,3 years of experience supporting sas data integration studio with ibm platform process ...
280,senior sqa engineer (data science),veritas,['pune'],4-9 yrs,"['data science', 'api testing', 'aws']",not disclosed,115,13 days ago,hot job,logo present,3.8,"sr. sqa engineer ( data science, qa) bachelors/masters in engineering preferred with ma..."
281,senior sqa engineer (data science),veritas,['pune'],4-9 yrs,"['data science', 'api testing', 'aws']",not disclosed,115,13 days ago,hot job,logo present,3.8,"sr. sqa engineer ( data science, qa) bachelors/masters in engineering preferred with ma..."
282,junior data analyst - sql and data visualization,springer nature technology and publishing solutions private limited,['pune(hadapsar)'],2-4 yrs,"['data analysis', 'market research', 'sql', 'data visualization', 'data analytics', 'market intelligence']","3,00,000 - 4,00,000 pa.",70,22 days ago,preferred,logo present,4,bachelors or masters degree with quantitative and analytical background (e.gexperience ...
283,data analyst-capco-bangalore,capco technologies pvt ltd,"['pune', ' bangalore/bengaluru']",4-9 yrs,"['data analysis', 'sql', 'python', 'pyspark', 'data quality', 'sas', 'power bi', 'data modeling']",not disclosed,93,24 days ago,premium,logo present,3.5,perform data analysis to develop data sourcing requirement good understanding of data g...
284,data analyst with marketing analytics-capco,capco technologies pvt ltd,"['pune', ' bangalore/bengaluru']",4-9 yrs,"['pyspark', 'data quality', 'data analysis', 'marketing analysis', 'data modeling', 'data analytics', 'data cleaning', 'etl']","7,00,000 - 17,00,000 pa.",93,30 days ago,preferred,logo present,3.5,perform data analysis to develop data sourcing requirement good understanding of data g...
285,opportunity for data analyst-capco-bangalore,capco technologies pvt ltd,"['pune', ' bangalore/bengaluru']",4-9 yrs,"['data analysis', 'sql', 'python', 'pyspark', 'data quality', 'sas', 'data modeling', 'data cleaning']",not disclosed,93,30+ days ago,premium,logo present,3.5,perform data analysis to develop data sourcing requirement good understanding of data g...
